VAR_IDX,VAR_POS,TABLE_NAME,FIELD_NAME,VALUESET_ITEM,VALUESET_ITEM_DESCRIPTOR
demo1,1,DEMOGRAPHIC,AGE,'AGE',Age at admission
demo2,1,DEMOGRAPHIC,HISPANIC,'Y',Y=Yes
demo2,1,DEMOGRAPHIC,HISPANIC,'N',N=No
demo2,1,DEMOGRAPHIC,HISPANIC,'R',R=Refuse  to  answer
demo2,1,DEMOGRAPHIC,HISPANIC,'NI',NI=No  information
demo2,1,DEMOGRAPHIC,HISPANIC,'UN',UN=Unknown
demo2,1,DEMOGRAPHIC,HISPANIC,'OT',OT=Other
demo3,1,DEMOGRAPHIC,RACE,'01',01=American  Indian  or  Alaska  Native
demo3,1,DEMOGRAPHIC,RACE,'02',02=Asian
demo3,1,DEMOGRAPHIC,RACE,'03',03=Black  or  African  American
demo3,1,DEMOGRAPHIC,RACE,'04',04=Native  Hawaiian  or  Other  Pacific  Islander
demo3,1,DEMOGRAPHIC,RACE,'05',05=White
demo3,1,DEMOGRAPHIC,RACE,'06',06=Multiple  race
demo3,1,DEMOGRAPHIC,RACE,'07',07=Refuse  to  answer
demo3,1,DEMOGRAPHIC,RACE,'NI',NI=No  information
demo3,1,DEMOGRAPHIC,RACE,'UN',UN=Unknown
demo3,1,DEMOGRAPHIC,RACE,'OT',OT=Other
demo4,1,DEMOGRAPHIC,SEX,'A',A=Ambiguous
demo4,1,DEMOGRAPHIC,SEX,'F',F=Female
demo4,1,DEMOGRAPHIC,SEX,'M',M=Male
demo4,1,DEMOGRAPHIC,SEX,'NI',NI=No  information
demo4,1,DEMOGRAPHIC,SEX,'UN',UN=Unknown
demo4,1,DEMOGRAPHIC,SEX,'OT',OT=Other
vital1,2,VITAL,HT,'HT',height
vital2,2,VITAL,WT,'WT',weight
vital3,2,VITAL,BMI,'BMI',body mass index
vital4,2,VITAL,SMOKING,'01',01=Current  every  day  smoker
vital4,2,VITAL,SMOKING,'02',02=Current  some  day  smoker
vital4,2,VITAL,SMOKING,'03',03=Former  smoker
vital4,2,VITAL,SMOKING,'04',04=Never  smoker
vital4,2,VITAL,SMOKING,'05',"05=Smoker,  current  status  unknown"
vital4,2,VITAL,SMOKING,'06',06=Unknown  if  ever  smoked
vital4,2,VITAL,SMOKING,'07',07=Heavy  tobacco  smoker
vital4,2,VITAL,SMOKING,'08',08=Light  tobacco  smoker
vital4,2,VITAL,SMOKING,'NI',NI=No  information
vital4,2,VITAL,SMOKING,'UN',UN=Unknown
vital4,2,VITAL,SMOKING,'OT',OT=Other
vital5,2,VITAL,TOBACCO,'01',01=Current  user
vital5,2,VITAL,TOBACCO,'02',02=Never
vital5,2,VITAL,TOBACCO,'03',03=Quit/former  user
