name
demo1|AGE
demo2|Y
demo2|N
demo2|R
demo2|NI
demo2|UN
demo2|OT
demo3|01
demo3|02
demo3|03
demo3|04
demo3|05
demo3|06
demo3|07
demo3|NI
demo3|UN
demo3|OT
demo4|A
demo4|F
demo4|M
demo4|NI
demo4|UN
demo4|OT
vital1|HT
vital2|WT
vital3|BMI
vital4|01
vital4|02
vital4|03
vital4|04
vital4|05
vital4|06
vital4|07
vital4|08
vital4|NI
vital4|UN
vital4|OT
vital5|01
vital5|02
vital5|03
vital5|04
vital5|06
vital5|NI
vital5|UN
vital5|OT
vital6|01
vital6|02
vital6|03
vital6|04
vital6|05
vital6|NI
vital6|UN
vital6|OT
vital7|BP_SYSTOLIC
vital8|BP_DIASTOLIC
lab1|LAB_RESULT_CM|10365-5
lab2|LAB_RESULT_CM|10501-5
lab3|LAB_RESULT_CM|10535-3
lab4|LAB_RESULT_CM|10676-5
lab5|LAB_RESULT_CM|10839-9
lab6|LAB_RESULT_CM|10882-9
lab7|LAB_RESULT_CM|10886-0
lab8|LAB_RESULT_CM|10989-2
lab9|LAB_RESULT_CM|11013-0
lab10|LAB_RESULT_CM|11031-2
lab11|LAB_RESULT_CM|11034-6
lab12|LAB_RESULT_CM|11146-8
lab13|LAB_RESULT_CM|11153-4
lab14|LAB_RESULT_CM|11246-6
lab15|LAB_RESULT_CM|11253-2
lab16|LAB_RESULT_CM|11257-3
lab17|LAB_RESULT_CM|11572-5
lab18|LAB_RESULT_CM|12183-0
lab19|LAB_RESULT_CM|12190-5
lab20|LAB_RESULT_CM|12195-4
lab21|LAB_RESULT_CM|12228-3
lab22|LAB_RESULT_CM|12480-0
lab23|LAB_RESULT_CM|12515-3
lab24|LAB_RESULT_CM|12841-3
lab25|LAB_RESULT_CM|13046-8
lab26|LAB_RESULT_CM|13047-6
lab27|LAB_RESULT_CM|13363-7
lab28|LAB_RESULT_CM|13532-7
lab29|LAB_RESULT_CM|13722-4
lab30|LAB_RESULT_CM|13756-2
lab31|LAB_RESULT_CM|13964-2
lab32|LAB_RESULT_CM|13965-9
lab33|LAB_RESULT_CM|13967-5
lab34|LAB_RESULT_CM|13969-1
lab35|LAB_RESULT_CM|13978-2
lab36|LAB_RESULT_CM|13980-8
lab37|LAB_RESULT_CM|13981-6
lab38|LAB_RESULT_CM|13982-4
lab39|LAB_RESULT_CM|13983-2
lab40|LAB_RESULT_CM|13990-7
lab41|LAB_RESULT_CM|13992-3
lab42|LAB_RESULT_CM|13993-1
lab43|LAB_RESULT_CM|13994-9
lab44|LAB_RESULT_CM|13995-6
lab45|LAB_RESULT_CM|14003-8
lab46|LAB_RESULT_CM|14116-8
lab47|LAB_RESULT_CM|14117-6
lab48|LAB_RESULT_CM|14121-8
lab49|LAB_RESULT_CM|14135-8
lab50|LAB_RESULT_CM|14136-6
lab51|LAB_RESULT_CM|14157-2
lab52|LAB_RESULT_CM|14158-0
lab53|LAB_RESULT_CM|14170-5
lab54|LAB_RESULT_CM|14196-0
lab55|LAB_RESULT_CM|14252-1
lab56|LAB_RESULT_CM|14274-5
lab57|LAB_RESULT_CM|14282-8
lab58|LAB_RESULT_CM|14286-9
lab59|LAB_RESULT_CM|14288-5
lab60|LAB_RESULT_CM|14334-7
lab61|LAB_RESULT_CM|14338-8
lab62|LAB_RESULT_CM|14388-3
lab63|LAB_RESULT_CM|14627-4
lab64|LAB_RESULT_CM|14803-1
lab65|LAB_RESULT_CM|14836-1
lab66|LAB_RESULT_CM|14862-7
lab67|LAB_RESULT_CM|14864-3
lab68|LAB_RESULT_CM|14873-4
lab69|LAB_RESULT_CM|14875-9
lab70|LAB_RESULT_CM|14882-5
lab71|LAB_RESULT_CM|14957-5
lab72|LAB_RESULT_CM|14959-1
lab73|LAB_RESULT_CM|14979-9
lab74|LAB_RESULT_CM|15041-7
lab75|LAB_RESULT_CM|15061-5
lab76|LAB_RESULT_CM|15067-2
lab77|LAB_RESULT_CM|15069-8
lab78|LAB_RESULT_CM|15087-0
lab79|LAB_RESULT_CM|15096-1
lab80|LAB_RESULT_CM|15112-6
lab81|LAB_RESULT_CM|15155-5
lab82|LAB_RESULT_CM|15158-9
