demo1|AGE
demo2|Y
demo2|N
demo2|UN
demo3|01
demo3|02
demo3|03
demo3|04
demo3|05
demo3|06
demo3|UN
demo3|OT
demo4|F
demo4|M
vital3|BMI
vital7|BP_SYSTOLIC
vital8|BP_DIASTOLIC
lab127|LAB_RESULT_CM|19212-0
lab156|LAB_RESULT_CM|2019-8
lab157|LAB_RESULT_CM|2020-6
lab158|LAB_RESULT_CM|2021-4
lab45|LAB_RESULT_CM|14003-8
lab196|LAB_RESULT_CM|2069-3
lab197|LAB_RESULT_CM|2070-1
lab198|LAB_RESULT_CM|2072-7
lab199|LAB_RESULT_CM|2075-0
lab200|LAB_RESULT_CM|2078-4
lab201|LAB_RESULT_CM|2079-2
lab82|LAB_RESULT_CM|15158-9
lab243|LAB_RESULT_CM|2339-0
lab244|LAB_RESULT_CM|2340-8
lab245|LAB_RESULT_CM|2342-4
lab246|LAB_RESULT_CM|2344-0
lab247|LAB_RESULT_CM|2345-7
lab248|LAB_RESULT_CM|2348-1
lab249|LAB_RESULT_CM|2350-7
lab250|LAB_RESULT_CM|2351-5
lab164|LAB_RESULT_CM|20436-2
lab613|LAB_RESULT_CM|4269-7
lab656|LAB_RESULT_CM|50555-2
lab292|LAB_RESULT_CM|26464-8
lab293|LAB_RESULT_CM|26465-5
lab294|LAB_RESULT_CM|26466-3
lab295|LAB_RESULT_CM|26469-7
lab296|LAB_RESULT_CM|26472-1
lab297|LAB_RESULT_CM|26473-9
lab431|LAB_RESULT_CM|30410-5
lab663|LAB_RESULT_CM|51487-7
lab672|LAB_RESULT_CM|53279-6
lab317|LAB_RESULT_CM|2703-7
lab318|LAB_RESULT_CM|2704-5
lab319|LAB_RESULT_CM|2705-2
lab126|LAB_RESULT_CM|19211-2
lab67|LAB_RESULT_CM|14864-3
lab289|LAB_RESULT_CM|26454-9
lab290|LAB_RESULT_CM|26455-6
lab291|LAB_RESULT_CM|26458-0
lab781|LAB_RESULT_CM|771-6
lab788|LAB_RESULT_CM|789-8
lab789|LAB_RESULT_CM|798-9
lab783|LAB_RESULT_CM|785-6
lab784|LAB_RESULT_CM|786-4
lab785|LAB_RESULT_CM|787-2
lab786|LAB_RESULT_CM|788-0
lab671|LAB_RESULT_CM|53278-8
lab353|LAB_RESULT_CM|2821-7
lab354|LAB_RESULT_CM|2823-3
lab355|LAB_RESULT_CM|2828-2
lab356|LAB_RESULT_CM|2829-0
lab738|LAB_RESULT_CM|6298-4
lab84|LAB_RESULT_CM|15202-5
lab123|LAB_RESULT_CM|19123-9
lab124|LAB_RESULT_CM|19124-7
lab257|LAB_RESULT_CM|24447-5
lab275|LAB_RESULT_CM|2518-9
lab276|LAB_RESULT_CM|2520-5
lab277|LAB_RESULT_CM|2524-7
lab108|LAB_RESULT_CM|17861-6
lab109|LAB_RESULT_CM|17862-4
lab488|LAB_RESULT_CM|32305-5
lab755|LAB_RESULT_CM|6874-2
lab81|LAB_RESULT_CM|15155-5
lab192|LAB_RESULT_CM|20657-3
lab128|LAB_RESULT_CM|19213-8
lab337|LAB_RESULT_CM|2744-1
lab338|LAB_RESULT_CM|2745-8
lab339|LAB_RESULT_CM|2746-6
lab340|LAB_RESULT_CM|2748-2
lab341|LAB_RESULT_CM|2755-7
lab342|LAB_RESULT_CM|2756-5
lab658|LAB_RESULT_CM|50560-2
lab68|LAB_RESULT_CM|14873-4
